,school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures_mat,schoolsup,famsup,paid_mat,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences_mat,G1_mat,G2_mat,G3_mat,failures_por,paid_por,absences_por,G1_por,G2_por,G3_por
0,GP,M,18,R,GT3,T,2,2,services,other,reputation,mother,1,1,2.0,no,yes,no,yes,yes,yes,yes,no,3,3,3,1,2,4,0.0,7.0,4.0,0.0,,,,,,
1,GP,M,15,R,GT3,T,3,2,other,other,course,mother,2,2,2.0,yes,yes,no,no,yes,yes,yes,yes,4,4,4,1,4,3,6.0,5.0,9.0,7.0,,,,,,
2,GP,M,16,U,LE3,T,1,2,other,other,course,mother,2,1,1.0,no,no,no,yes,yes,yes,no,no,4,4,4,2,4,5,0.0,7.0,0.0,0.0,,,,,,
3,GP,M,17,U,GT3,T,1,3,at_home,services,course,father,1,1,0.0,no,no,no,no,yes,no,yes,no,5,3,3,1,4,2,2.0,10.0,10.0,10.0,,,,,,
4,GP,M,16,U,GT3,T,3,2,services,services,course,mother,2,1,1.0,no,yes,no,yes,no,no,no,no,4,5,2,1,1,2,16.0,12.0,11.0,12.0,,,,,,
5,GP,F,18,U,LE3,T,2,1,services,at_home,reputation,mother,1,2,1.0,no,no,no,no,yes,yes,yes,yes,5,4,3,1,1,5,12.0,12.0,12.0,13.0,,,,,,
6,GP,M,19,U,GT3,T,3,3,other,other,home,other,1,2,1.0,no,yes,no,yes,yes,yes,yes,yes,4,4,4,1,1,3,20.0,15.0,14.0,13.0,,,,,,
7,GP,F,18,U,GT3,T,2,4,services,at_home,reputation,other,1,2,1.0,no,yes,yes,yes,yes,yes,yes,no,4,4,3,1,1,3,8.0,14.0,12.0,12.0,,,,,,
8,GP,M,19,U,GT3,T,4,4,teacher,services,reputation,other,2,1,1.0,no,yes,yes,no,yes,yes,yes,yes,4,3,4,1,1,4,38.0,8.0,9.0,8.0,,,,,,
9,GP,F,19,U,LE3,T,1,1,at_home,other,reputation,other,1,2,1.0,yes,yes,no,yes,no,yes,yes,no,4,4,3,1,3,3,18.0,12.0,10.0,10.0,,,,,,
10,GP,F,19,U,LE3,T,1,2,services,services,home,other,1,2,1.0,no,no,no,yes,no,yes,no,yes,4,2,4,2,2,3,0.0,9.0,9.0,0.0,,,,,,
11,GP,F,19,U,GT3,T,2,1,at_home,other,other,other,3,2,0.0,no,yes,no,no,yes,no,yes,yes,3,4,1,1,1,2,20.0,14.0,12.0,13.0,,,,,,
12,GP,M,19,U,GT3,T,1,2,other,services,course,other,1,2,1.0,no,no,no,no,no,yes,yes,no,4,5,2,2,2,4,3.0,13.0,11.0,11.0,,,,,,
13,GP,F,19,U,LE3,T,3,2,services,other,reputation,other,2,2,1.0,no,yes,yes,no,no,yes,yes,yes,4,2,2,1,2,1,22.0,13.0,10.0,11.0,,,,,,
14,GP,F,19,U,GT3,T,1,1,at_home,health,home,other,1,3,2.0,no,no,no,no,no,yes,yes,yes,4,1,2,1,1,3,14.0,15.0,13.0,13.0,,,,,,
15,GP,F,19,R,GT3,T,2,3,other,other,reputation,other,1,3,1.0,no,no,no,no,yes,yes,yes,yes,4,1,2,1,1,3,40.0,13.0,11.0,11.0,,,,,,
16,GP,F,19,R,GT3,A,3,1,services,at_home,home,other,1,3,1.0,no,no,yes,no,yes,yes,no,no,5,4,3,1,2,5,12.0,14.0,13.0,13.0,,,,,,
17,GP,F,19,U,GT3,T,2,1,services,services,home,other,1,3,1.0,no,no,yes,yes,yes,yes,yes,yes,4,3,4,1,3,3,4.0,11.0,12.0,11.0,,,,,,
18,MS,F,18,R,LE3,A,1,4,at_home,other,course,mother,3,2,0.0,no,no,no,no,yes,yes,no,yes,4,3,4,1,4,5,0.0,13.0,13.0,13.0,,,,,,
19,MS,M,18,R,LE3,T,1,1,at_home,other,other,mother,2,2,1.0,no,no,no,yes,no,no,no,no,4,4,3,2,3,5,2.0,13.0,12.0,12.0,,,,,,
20,MS,F,19,U,LE3,T,3,2,services,services,home,other,2,2,2.0,no,no,no,yes,yes,yes,no,yes,3,2,2,1,1,3,4.0,7.0,7.0,9.0,,,,,,
21,MS,F,20,U,GT3,T,4,2,health,other,course,other,2,3,2.0,no,yes,yes,no,no,yes,yes,yes,5,4,3,1,1,3,4.0,15.0,14.0,15.0,,,,,,
22,MS,M,20,U,LE3,A,2,2,services,services,course,other,1,2,2.0,no,yes,yes,no,yes,yes,no,no,5,5,4,4,5,4,11.0,9.0,9.0,9.0,,,,,,
23,MS,M,21,R,GT3,T,1,1,other,other,course,other,1,1,3.0,no,no,no,no,no,yes,no,no,5,5,3,3,3,3,3.0,10.0,8.0,7.0,,,,,,
24,MS,M,19,U,LE3,T,1,1,other,at_home,course,father,1,1,0.0,no,no,no,no,yes,yes,yes,no,3,2,3,3,3,5,5.0,8.0,9.0,9.0,,,,,,
25,GP,M,16,U,GT3,T,2,3,other,other,course,mother,2,3,,no,yes,,no,no,yes,yes,yes,3,2,3,2,2,1,,,,,0.0,no,4.0,13.0,12.0,13.0
26,GP,F,18,U,GT3,T,2,1,services,other,reputation,mother,1,2,,no,yes,,yes,yes,no,yes,yes,5,4,5,1,3,5,,,,,3.0,no,10.0,10.0,9.0,8.0
27,GP,F,17,U,LE3,A,2,1,other,other,course,mother,3,1,,no,yes,,no,yes,yes,yes,no,3,2,2,1,2,5,,,,,0.0,no,8.0,11.0,10.0,11.0
28,GP,M,16,U,GT3,T,2,1,at_home,other,course,mother,4,1,,no,no,,no,yes,yes,no,no,3,2,1,1,1,2,,,,,0.0,no,4.0,9.0,9.0,11.0
29,GP,F,16,U,GT3,A,2,2,other,other,home,mother,1,1,,no,no,,no,yes,yes,no,no,5,3,4,1,1,5,,,,,1.0,no,12.0,13.0,11.0,11.0
30,GP,F,16,R,GT3,T,1,1,at_home,other,course,mother,4,2,,no,yes,,no,yes,yes,no,no,5,1,3,1,1,3,,,,,0.0,no,0.0,14.0,13.0,13.0
31,GP,M,18,U,LE3,T,3,1,services,services,course,mother,2,1,,no,no,,yes,yes,yes,yes,yes,3,3,4,4,5,4,,,,,0.0,no,2.0,11.0,11.0,12.0
32,GP,F,18,U,GT3,A,3,2,other,services,course,other,1,3,,no,yes,,yes,no,yes,yes,yes,4,3,3,5,1,5,,,,,0.0,no,10.0,12.0,11.0,11.0
33,GP,F,16,R,GT3,T,1,1,other,services,reputation,mother,2,1,,no,yes,,yes,yes,yes,no,yes,3,3,3,1,2,1,,,,,0.0,no,8.0,12.0,11.0,11.0
34,GP,F,15,R,GT3,T,1,1,other,other,course,mother,3,1,,no,no,,yes,yes,yes,yes,yes,5,5,5,1,1,1,,,,,1.0,no,2.0,8.0,9.0,9.0
35,GP,F,15,U,GT3,A,3,3,services,services,home,mother,1,2,,no,no,,no,no,yes,no,yes,1,3,2,2,3,1,,,,,0.0,no,24.0,9.0,8.0,9.0
36,GP,M,16,U,GT3,T,4,4,services,services,course,mother,1,3,,no,yes,,yes,yes,yes,yes,no,5,3,3,1,3,5,,,,,0.0,no,0.0,15.0,13.0,13.0
37,GP,F,15,U,LE3,A,2,1,at_home,other,home,mother,2,1,,no,yes,,yes,yes,no,yes,yes,4,4,2,1,1,5,,,,,0.0,no,0.0,11.0,10.0,10.0
38,GP,F,15,U,GT3,T,1,2,at_home,services,course,father,1,2,,no,no,,no,no,yes,no,yes,2,3,4,2,4,1,,,,,0.0,no,6.0,11.0,11.0,11.0
39,GP,M,16,U,LE3,T,1,2,health,services,course,mother,2,1,,no,no,,no,no,yes,yes,no,4,4,5,3,5,5,,,,,2.0,no,0.0,9.0,8.0,10.0
40,GP,M,17,R,GT3,T,3,2,other,other,course,mother,2,2,,yes,yes,,no,yes,yes,yes,yes,4,4,4,1,4,3,,,,,2.0,no,4.0,7.0,6.0,8.0
41,GP,M,15,U,LE3,T,1,2,other,other,course,mother,2,1,,no,no,,yes,yes,yes,no,no,4,4,4,2,4,5,,,,,0.0,no,2.0,8.0,9.0,10.0
42,GP,M,16,U,GT3,T,1,3,at_home,services,course,father,1,1,,no,no,,no,yes,no,yes,no,5,3,3,1,4,2,,,,,1.0,no,2.0,9.0,8.0,8.0
43,GP,M,17,U,GT3,T,3,2,services,services,course,mother,2,1,,no,yes,,yes,no,no,no,no,4,5,2,1,1,2,,,,,3.0,no,10.0,8.0,7.0,8.0
44,GP,F,16,U,GT3,A,4,1,other,other,home,mother,1,2,,no,no,,yes,yes,yes,yes,yes,5,3,3,1,2,5,,,,,0.0,no,0.0,14.0,13.0,13.0
45,GP,F,18,U,LE3,A,2,4,services,other,course,mother,2,2,,no,yes,,no,yes,yes,yes,no,4,3,3,1,1,3,,,,,1.0,no,18.0,10.0,10.0,10.0
46,GP,F,18,U,LE3,T,2,2,at_home,services,course,mother,1,2,,no,yes,,no,no,yes,yes,yes,5,3,1,1,1,5,,,,,1.0,no,16.0,9.0,8.0,10.0
47,GP,F,18,U,GT3,T,3,3,other,other,course,mother,2,1,,no,no,,no,yes,no,yes,no,4,1,1,1,1,3,,,,,1.0,no,14.0,8.0,7.0,7.0
48,GP,M,18,U,GT3,T,2,2,other,at_home,course,other,1,1,,no,yes,,yes,no,no,yes,yes,4,4,3,2,2,1,,,,,1.0,no,26.0,7.0,8.0,8.0
49,GP,M,17,U,GT3,T,4,4,teacher,teacher,course,mother,1,1,,no,yes,,yes,no,yes,yes,no,4,2,1,1,2,5,,,,,0.0,no,6.0,10.0,8.0,9.0
50,GP,F,17,U,GT3,T,3,2,other,other,course,father,1,2,,no,no,,yes,yes,yes,no,no,5,4,2,1,1,3,,,,,0.0,no,4.0,14.0,14.0,15.0
51,GP,F,17,U,LE3,T,1,1,at_home,at_home,course,mother,1,3,,no,yes,,yes,yes,yes,yes,yes,4,3,2,1,2,4,,,,,0.0,no,10.0,11.0,10.0,10.0
52,GP,F,16,U,GT3,T,1,2,other,other,course,mother,1,1,,no,no,,no,yes,no,yes,no,5,3,5,1,2,5,,,,,0.0,no,4.0,12.0,11.0,11.0
53,GP,F,17,R,LE3,A,1,4,other,other,course,other,4,1,,no,yes,,no,yes,yes,yes,no,5,5,4,1,1,5,,,,,1.0,no,14.0,9.0,9.0,8.0
54,GP,F,17,U,LE3,A,2,2,other,other,home,mother,1,1,,no,yes,,no,no,no,yes,no,3,1,2,1,1,1,,,,,1.0,no,8.0,11.0,9.0,10.0
55,GP,F,17,R,LE3,T,1,1,at_home,other,course,mother,2,3,,no,no,,yes,yes,yes,yes,no,4,3,3,1,3,5,,,,,0.0,no,4.0,15.0,14.0,15.0
56,GP,F,17,U,LE3,A,4,2,teacher,other,course,mother,1,2,,no,yes,,yes,yes,yes,no,no,4,3,2,1,1,4,,,,,0.0,no,4.0,15.0,14.0,14.0
57,GP,F,17,U,GT3,T,4,4,teacher,services,course,mother,1,2,,no,yes,,no,yes,yes,yes,yes,5,3,1,1,4,5,,,,,0.0,yes,2.0,11.0,11.0,12.0
58,GP,M,17,R,GT3,T,1,1,other,other,home,father,2,3,,no,no,,no,no,yes,yes,yes,4,3,3,1,1,1,,,,,0.0,no,2.0,13.0,14.0,15.0
59,GP,F,17,U,GT3,T,3,3,services,other,home,mother,2,3,,no,yes,,no,yes,yes,yes,yes,4,2,2,2,3,5,,,,,0.0,no,10.0,11.0,11.0,11.0
60,GP,F,17,U,GT3,T,1,1,at_home,other,course,mother,1,2,,yes,no,,no,no,yes,no,yes,4,3,2,1,1,4,,,,,0.0,no,10.0,10.0,9.0,10.0
61,GP,F,17,U,GT3,T,1,1,other,services,course,father,1,2,,no,yes,,no,yes,yes,no,no,4,3,4,1,2,5,,,,,0.0,no,4.0,11.0,10.0,11.0
62,GP,F,18,U,LE3,A,2,1,other,other,course,mother,1,2,,no,yes,,no,no,yes,yes,yes,4,3,4,1,3,5,,,,,0.0,no,2.0,12.0,12.0,13.0
63,GP,F,19,U,GT3,T,2,2,services,services,home,mother,1,2,,no,yes,,no,yes,yes,yes,no,4,3,3,1,1,5,,,,,0.0,no,0.0,10.0,10.0,11.0
64,GP,M,18,U,LE3,T,2,1,services,other,course,mother,3,2,,no,no,,yes,no,no,yes,no,4,4,5,4,4,5,,,,,1.0,no,4.0,11.0,10.0,11.0
65,GP,F,17,R,GT3,T,4,2,other,other,course,mother,1,3,,no,yes,,yes,yes,yes,yes,no,4,3,4,1,3,5,,,,,0.0,no,2.0,11.0,12.0,14.0
66,GP,F,18,U,LE3,T,1,1,other,at_home,home,mother,1,3,,no,yes,,no,no,yes,no,no,4,4,3,2,3,3,,,,,0.0,no,4.0,11.0,12.0,14.0
67,GP,F,18,R,GT3,T,2,2,other,other,home,mother,1,2,,yes,no,,no,yes,yes,no,no,3,2,3,1,1,5,,,,,0.0,no,4.0,11.0,11.0,13.0
68,GP,M,17,R,GT3,T,2,2,other,services,other,mother,2,1,,no,no,,no,no,no,no,no,5,2,2,1,1,4,,,,,0.0,no,0.0,9.0,10.0,10.0
69,GP,F,20,R,GT3,T,2,1,other,other,course,other,2,2,,no,yes,,yes,yes,no,yes,yes,1,2,3,1,2,2,,,,,0.0,yes,8.0,10.0,12.0,12.0
70,GP,M,17,U,GT3,T,2,2,other,other,home,father,2,1,,no,no,,no,yes,no,yes,no,4,4,4,2,3,4,,,,,0.0,no,8.0,8.0,8.0,9.0
71,GP,F,18,U,GT3,T,2,1,other,other,home,mother,1,2,,no,yes,,no,yes,yes,yes,yes,4,2,5,1,2,1,,,,,0.0,no,8.0,14.0,14.0,15.0
72,GP,F,17,U,GT3,T,2,2,other,services,reputation,father,3,3,,no,yes,,no,yes,yes,yes,yes,4,2,3,1,1,1,,,,,0.0,no,8.0,13.0,15.0,15.0
73,GP,F,19,R,GT3,T,3,2,services,services,reputation,father,1,2,,yes,yes,,no,yes,no,yes,no,3,3,3,4,3,3,,,,,1.0,no,0.0,9.0,8.0,10.0
74,GP,M,18,U,GT3,T,1,2,at_home,other,home,other,2,1,,no,no,,no,no,no,yes,no,3,4,4,2,4,4,,,,,0.0,no,10.0,10.0,10.0,11.0
75,GP,F,18,U,GT3,T,2,1,other,other,reputation,mother,2,2,,no,no,,yes,yes,yes,yes,yes,4,3,1,1,1,5,,,,,0.0,no,10.0,12.0,13.0,14.0
76,GP,F,17,R,GT3,T,4,4,services,services,reputation,mother,2,3,,no,yes,,yes,yes,yes,yes,no,5,3,4,1,1,5,,,,,0.0,no,0.0,7.0,7.0,8.0
77,GP,M,19,R,LE3,T,2,1,at_home,services,course,mother,2,3,,no,no,,yes,yes,yes,yes,yes,4,3,1,1,1,5,,,,,1.0,no,0.0,9.0,10.0,11.0
78,GP,F,18,U,GT3,T,1,4,other,teacher,home,mother,1,2,,yes,yes,,no,no,yes,no,yes,3,4,4,1,2,5,,,,,0.0,no,2.0,10.0,10.0,11.0
79,GP,F,17,U,GT3,T,2,3,other,other,course,father,2,2,,no,no,,yes,yes,yes,yes,yes,4,2,1,1,1,3,,,,,0.0,no,2.0,11.0,12.0,14.0
80,GP,F,17,R,GT3,T,4,4,teacher,teacher,course,mother,1,1,,no,no,,yes,yes,yes,yes,no,4,4,4,1,1,5,,,,,0.0,no,2.0,15.0,16.0,17.0
81,GP,F,18,U,LE3,T,4,3,health,services,course,mother,2,1,,no,yes,,no,yes,yes,yes,no,3,2,4,1,4,1,,,,,0.0,no,8.0,12.0,12.0,15.0
82,GP,F,18,U,GT3,T,3,3,at_home,other,course,father,1,2,,no,yes,,no,yes,yes,yes,no,4,1,4,1,1,3,,,,,0.0,no,8.0,11.0,12.0,14.0
83,GP,M,19,U,GT3,T,4,2,health,other,course,mother,2,2,,no,yes,,yes,yes,yes,yes,yes,5,4,4,1,1,1,,,,,0.0,no,9.0,11.0,10.0,10.0
84,GP,F,18,U,GT3,T,3,4,other,other,course,mother,1,1,,no,yes,,yes,yes,yes,yes,yes,5,4,4,1,1,1,,,,,0.0,no,4.0,11.0,12.0,14.0
85,GP,F,17,U,GT3,T,4,4,health,health,course,mother,1,1,,no,no,,yes,yes,yes,yes,no,5,3,4,1,2,5,,,,,0.0,no,2.0,14.0,15.0,17.0
86,GP,F,17,U,LE3,A,3,3,services,other,home,mother,1,2,,yes,yes,,no,yes,yes,yes,no,5,3,3,1,1,5,,,,,0.0,no,0.0,12.0,12.0,13.0
87,GP,F,17,U,LE3,T,2,1,other,other,home,father,1,2,,no,no,,yes,yes,yes,yes,no,4,2,3,2,2,2,,,,,0.0,no,2.0,11.0,12.0,14.0
88,GP,M,18,U,LE3,T,4,4,other,other,reputation,father,1,1,,no,yes,,no,yes,yes,yes,no,4,2,5,3,4,5,,,,,0.0,no,2.0,8.0,9.0,11.0
89,GP,F,19,U,GT3,T,1,1,other,other,course,other,3,3,,no,no,,yes,yes,no,no,yes,1,5,5,4,3,5,,,,,0.0,no,12.0,10.0,10.0,11.0
90,GP,F,19,U,LE3,A,1,1,other,other,course,other,3,2,,no,yes,,no,no,yes,yes,yes,5,3,4,1,1,4,,,,,2.0,no,2.0,8.0,8.0,9.0
91,GP,F,18,U,GT3,T,2,2,other,other,course,mother,1,1,,no,yes,,yes,yes,yes,yes,yes,4,3,5,2,4,5,,,,,0.0,no,2.0,10.0,10.0,10.0
92,GP,F,18,U,GT3,T,1,1,other,other,home,mother,2,3,,no,no,,yes,yes,yes,yes,no,4,5,5,1,2,2,,,,,0.0,no,0.0,14.0,14.0,14.0
93,GP,F,17,U,GT3,T,3,3,at_home,other,course,mother,1,1,,no,yes,,yes,yes,yes,yes,no,4,2,5,2,5,5,,,,,0.0,yes,2.0,11.0,12.0,11.0
94,GP,M,19,R,GT3,T,3,2,at_home,services,home,other,1,1,,no,yes,,no,no,yes,no,yes,5,3,4,2,2,5,,,,,0.0,no,0.0,11.0,10.0,10.0
95,GP,F,18,U,GT3,T,2,2,at_home,other,course,mother,4,2,,no,no,,yes,yes,yes,no,yes,4,2,5,1,1,2,,,,,0.0,no,2.0,10.0,9.0,10.0
96,GP,M,18,U,GT3,T,2,2,other,other,reputation,mother,1,1,,no,no,,no,no,yes,yes,no,5,4,2,1,2,5,,,,,0.0,no,6.0,15.0,14.0,15.0
97,GP,F,17,U,GT3,T,2,1,services,other,course,mother,2,2,,no,yes,,yes,yes,yes,yes,yes,4,3,4,2,2,1,,,,,0.0,no,10.0,12.0,15.0,15.0
98,GP,F,17,U,GT3,T,2,1,services,other,reputation,mother,1,2,,no,yes,,yes,yes,yes,yes,no,4,3,5,2,4,4,,,,,0.0,no,4.0,12.0,16.0,16.0
99,GP,F,19,U,LE3,A,2,3,at_home,other,home,other,2,1,,no,no,,no,yes,no,yes,no,2,2,3,3,4,5,,,,,1.0,no,16.0,10.0,11.0,11.0
100,GP,F,17,U,GT3,T,3,1,other,at_home,home,mother,1,1,,no,yes,,no,yes,yes,yes,yes,4,1,2,1,1,3,,,,,1.0,yes,6.0,10.0,13.0,13.0
101,GP,F,21,U,LE3,T,4,4,other,other,reputation,other,1,3,,no,no,,yes,yes,yes,yes,no,3,3,2,1,1,5,,,,,2.0,yes,0.0,9.0,12.0,12.0
102,GP,M,18,U,LE3,T,2,2,services,services,reputation,mother,1,2,,no,yes,,yes,no,no,yes,no,4,4,4,1,3,3,,,,,0.0,no,11.0,9.0,11.0,12.0
103,GP,M,18,U,LE3,A,3,4,other,other,reputation,other,1,2,,no,no,,yes,yes,yes,yes,yes,4,3,5,1,4,2,,,,,0.0,no,9.0,13.0,14.0,15.0
104,GP,F,17,U,GT3,T,2,2,services,services,reputation,mother,1,2,,no,yes,,yes,yes,yes,yes,no,4,3,4,1,3,4,,,,,0.0,no,0.0,13.0,17.0,17.0
105,GP,M,17,U,LE3,A,4,4,health,other,reputation,mother,1,3,,no,yes,,no,yes,yes,yes,no,4,4,2,1,2,4,,,,,0.0,no,2.0,12.0,15.0,15.0
106,GP,F,18,U,LE3,T,4,2,teacher,other,course,mother,1,2,,no,yes,,yes,yes,yes,yes,no,4,2,2,1,1,3,,,,,0.0,no,0.0,14.0,17.0,17.0
107,GP,M,21,R,LE3,T,1,1,at_home,other,course,other,2,2,,no,yes,,yes,yes,no,yes,yes,5,3,3,5,2,4,,,,,2.0,no,21.0,9.0,10.0,10.0
108,GP,F,20,R,GT3,T,1,1,other,other,reputation,other,2,3,,no,no,,no,yes,yes,yes,yes,3,2,2,1,3,3,,,,,0.0,no,8.0,11.0,15.0,15.0
109,GP,F,19,U,GT3,T,4,4,teacher,other,home,other,1,1,,no,yes,,no,yes,yes,yes,yes,3,2,5,4,4,5,,,,,1.0,no,5.0,9.0,10.0,11.0
110,GP,M,17,U,LE3,A,3,2,other,other,reputation,mother,1,2,,no,yes,,no,yes,yes,yes,no,4,4,4,1,2,5,,,,,0.0,no,10.0,16.0,18.0,18.0
111,GP,F,18,U,GT3,T,3,2,at_home,other,reputation,father,1,3,,no,yes,,no,yes,yes,yes,yes,4,3,4,1,2,2,,,,,0.0,no,5.0,14.0,17.0,17.0
112,GP,M,18,R,GT3,T,2,3,other,services,reputation,father,1,1,,no,no,,no,yes,yes,yes,no,3,1,3,4,5,4,,,,,0.0,no,13.0,13.0,14.0,14.0
113,GP,M,19,U,GT3,T,2,1,other,other,reputation,mother,1,1,,no,no,,no,yes,yes,yes,no,5,3,4,1,4,4,,,,,0.0,no,10.0,7.0,11.0,11.0
114,GP,F,18,U,LE3,A,2,2,services,other,reputation,mother,2,2,,no,yes,,no,yes,yes,yes,no,4,1,4,1,3,4,,,,,0.0,no,10.0,14.0,17.0,17.0
115,GP,F,20,U,GT3,T,1,0,other,other,reputation,mother,2,1,,yes,no,,no,yes,yes,yes,yes,5,3,1,1,1,5,,,,,1.0,no,5.0,8.0,10.0,10.0
116,GP,F,18,U,GT3,T,3,2,services,other,home,mother,1,2,,no,yes,,yes,no,yes,yes,yes,3,1,2,1,2,1,,,,,0.0,no,4.0,10.0,13.0,13.0
117,MS,F,16,U,GT3,T,1,3,at_home,other,other,father,2,1,,no,yes,,no,yes,no,yes,yes,4,3,3,1,3,5,,,,,0.0,no,11.0,10.0,11.0,11.0
118,MS,F,16,R,GT3,T,2,2,other,other,course,mother,2,2,,no,yes,,yes,yes,yes,yes,no,4,4,4,1,1,5,,,,,0.0,no,0.0,12.0,12.0,12.0
119,MS,F,15,R,GT3,T,1,1,at_home,services,other,mother,1,1,,no,yes,,no,yes,yes,no,yes,4,1,3,1,1,2,,,,,1.0,no,6.0,10.0,10.0,10.0
